[2019-09-24T15:50:54.611] [INFO] default - [::1 GET / 404 10ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:50:54.825] [INFO] default - [::1 GET /favicon.ico 404 2ms][http://localhost:3000/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:51:05.531] [INFO] default - [::1 GET /hone.css 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:51:07.653] [INFO] default - [::1 GET /hone.css 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:51:11.259] [INFO] default - [::1 GET /home.css 404 7ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:52:32.267] [INFO] default - [::1 GET /views/index.html 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:52:34.649] [INFO] default - [::1 GET /views/index.html 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:52:43.297] [INFO] default - [::1 GET /views/index.ejs 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:55:43.614] [INFO] default - [::1 GET /public/upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:55:45.749] [INFO] default - [::1 GET /public/upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:55:47.354] [INFO] default - [::1 GET /public/upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:55:48.897] [INFO] default - [::1 GET /public/upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 404 1ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:55:49.912] [INFO] default - [::1 GET /public/upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 404 2ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:56:06.218] [INFO] default - [::1 GET /public/upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 404 9ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2019-09-24T15:56:51.034] [INFO] default - [::1 GET /public/images/167.png 404 8ms][ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
