[2020-01-16T08:48:56.613] [INFO] default - [::1 POST /admin/login 200 279ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T08:49:06.724] [INFO] default - [::1 POST /admin/push/findone 200 58ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T08:49:45.862] [INFO] default - [::1 POST /admin/push/findone 200 7ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T08:51:45.035] [INFO] default - [::1 POST /admin/push/findone 200 7ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T09:09:20.286] [INFO] default - [::1 POST /admin/push/save 200 114ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T11:02:42.217] [INFO] default - [::1 POST /home/register 200 103ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T11:02:56.876] [INFO] default - [::1 POST /home/login 200 17ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T11:57:57.704] [INFO] default - [::1 GET /admin/push/querynum 200 60ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T14:10:58.373] [INFO] default - [::1 GET /admin/push/querynum 304 13ms][http://localhost:8081/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T14:19:20.244] [INFO] default - 查看banner
[2020-01-16T14:19:20.248] [INFO] default - [::1 GET /admin/home/banner 200 99ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T14:19:20.286] [INFO] default - [::1 GET /upload/upload_69cc55dcb9db3d29a2c91aa176f89431.jpg 200 28ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
[2020-01-16T14:19:20.293] [INFO] default - [::1 GET /upload/upload_1189921dc21f605aea62ad5827cc7fe3.jpg 200 34ms][http://localhost:8080/ HTTP/1.1 Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/65.0.3325.181 Safari/537.36]
